idproperty|province|municipality|surface|rooms|baths|property_type|property_subtype|transacion_type|price|description
dtvfxmsiow|Barcelona|Arenys de Munt|200|4|1|Vivienda|Casa-Chalet|Sell|300000.0|REF. FIRHABIT: CV  Parquing de 39m2 y habitación de 45m2, en planta semi-sotano.  En la planta a pie de calle hay el comedor de 38 m2 con chimenea, cocina-office y aseo de cortesía. En la  1a planta hay 1 bany completo y 4 habitaciones dobles, una de ellas con salida a terraza-solarium.  Jardín de 400 m2 con zona de barbacoa.  Urbanización situada a 1km. aprox. del casco urbano de Arenys de Munt
aosravonvq|Barcelona|Alella|300|4|2|Vivienda|Casa-Chalet|Sell|575000.0|Casa de obra vista ubicada a pocos minutos del centro de Alella, con zona comunitaria ajardinada con piscina. Propiedad de 300m2 dividida en 4 plantas y planta sótano. En la planta a pie de calle se encuentra un salón con chimenea y salida a patio privado de 60m2 y 1 aseo. La 1ª planta cuenta con una cocina independiente con zona comedor y acceso a patio de 20m2 y a la piscina comunitaria. La 2ª planta se divide en dos dormitorios dobles exteriores y 1 baño (con bañera). Un dormitorio suite exterior con baño privado (con bañera) ocupa toda la 3ª planta. La 4ª planta con una buhardilla de techos altos de 12m2 y una terraza-solarium, permite disfrutar de las vistas al mar. La propiedad tiene una planta sótano con un dormitorio individual de servicio, zona despensa y parking cubierto (2 plazas de coche). Suelos de gres. Calefacción y aire fríocalor por split. Orientación sur. Ubicado en zona tranquila. ZONA: Alella.
dceijtqvah|Barcelona|Sitges|600|5|2|Vivienda|Casa-Chalet|Sell|565000.0|Casa de 320m2 útiles, en un terreno de 600m2. Casa con espacios amplios y muy buena distribución.  Distribuida en planta Calle y -3 llegando a piscina. Planta calle: Garage, terraza y entrada. Planta -1: Cocina equipada, salón comedor, 1 aseo de cortesía, 1 hab individual, terraza. Planta -2;  2habitaciones dobles ambas con vestidores, 1 habitación invidual, 1 baño con bañera. Planta -3: 1 habitación suite con 1 baño con bañera, barbacoa, porche y salida a piscina, barbacoa y porche. Piscina privada y jardín. Urbanización: QUINTMAR.
dhigzfxhoz|Barcelona|El Masnou|493|11|3|Vivienda|Casa-Chalet|Sell|1200000.0|Casa señorial a 4 vientos para reformar. Casa de 493m2 construidos en terreno de m2, a reformar. Distribuida en tres plantas. Planta baja: salón-comedor, salón con chimenea, cocina independiente equipada, 1 dormitorio doble, 1 despacho, 1 aseo y hall. Primera planta: 5 dormitorios dobles, 2 baños completos y porche. Segunda planta: 4 dormitorios (2 dobles y 2 individuales) y 1 baño. Terraza y piscina privada. Suelos de cerámica. Trastero y parking (4 plazas) incluidos en la misma finca. Calefacción. Vigas vista y techos artesonados. Orientación este. Con vistas panorámicas al mar.  Soleada, tranquila y luminosa. ZONA: El Masnou.
nrxprbyxzj|Barcelona| Barcelona Capital|100|2|2|Vivienda|Piso|Sell|660000.0|PISO CON INQUILINO. IDEAL INVERSORES. Piso recién reformado de 100m2 en finca regia ubicada en pleno centro de Barcelona, junto al eje comercial de la ciudad. Cerca de Plaza Urquinaona y a pocos minutos de Plaza Catalunya. Salón-comedor, cocina independiente tipo office, 2 dormitorios (1 suite con vestidor y baño privado, 1 doble) y 2 baños (1 con ducha, 1 con bañera -suite-). Suelos de parquet y doble cristal. Armarios empotrados. Aire fríocalor por conducto. Con vistas a patio de manzana. Orientación este. Céntrico y bien comunicado. ZONA: La Dreta de l´Eixample. TRANSPORTE: Metro-Urquinaona (L1,L4) y Catalunya (L1,L3), Renfe-Catalunya, FGC-Catalunya (L6,L7), Bicing y Bus.
pueqiwmhpa|Tarragona|Bellvei|90|4|2|Vivienda|Casa-Chalet|Sell|145000.0| 
ldzrqbteaa|Girona|Sant Feliu de Buixalleu|342|8|4|Vivienda|Finca rústica|Sell|485000.0|Impresionante masia en Sant Feliu de Buixalleu, ideal para inversión, se encuentra alquilada. Dos plantas con entradas independientes a planta baja y 1ª planta con estudio.  Planta baja se compone de 4 habitaciones (2dobles), 2 baños (1 en suitte), cocina office de 24m² con chimenea, salón comedor de 32m² con salida a el exterior.  Planta 1ª se compone al igual que la planta baja mas estudio de 30m². 171m² por planta.  Parcela de 12.000m² con garaje de 318m² mas baño y oficina de 14m², 2 trasteros de 25m².Calefacción gasoil radiante independiente para cada vivienda. Cubierta de 400m² con almacén y cámara frigorífica. Canalización de recogida de aguas fluviales a estrenar de 80.000 litros. Pozo. Célula de movimiento luz exterior.Preciosas vistas a parques naturales. Orientación sur.
swqjmrpkcd|Barcelona|Calders|300|5|1|Vivienda|Casa-Chalet|Sell|120000.0|Casa de pueblo en el tranquilo pueblo de Calders. La casa consta de dos plantas. En la planta baja encontramos una amplia entrada, una habitación con un enorme horno de leña, un desván, la cocina, un baño y la salida a un jardín de 75m2. La primera planta hay el amplio comedor de 40m2, 5 habitaciones 3 de ellas dobles y un despacho. En esta misma planta hay un baño completo. También podremos disfrutar de una buhardilla de casi 100m2.
tkxyifvmcr|Barcelona|Palafolls|154|3|2|Vivienda|Finca rústica|Sell|239000.0|Finca rústica de más de  m2 en Sant Genís de Palafolls. Casa de 2 plantas: primera planta dos comedores, cocina, 2 baños completos y despensa; segunda planta: 3 habitaciones (2 dobles) y salida a terraza. Garaje para dos coches y zona de almacenaje. Terreno con bosque particular, bancales independientes preparados para el cultivo, balsa y pozo propio para el riego. Así mismo dispone de una amplia zona de terreno despejado y zona de barbacoa. Orientación al castillo de Palafolls. A 10 minutos de Malgrat de Mar, muy bien comunicado con las carreteras principales.
wsgybmnjir|Lleida|Lles de Cerdanya|250|5|1|Vivienda|Finca rústica|Sell|150000.0|Casa rústica de 3 plantes, situada al poble de Lles de Cerdanya. La casa consta de saló-menjador, cuina, rebost, 1 bany i 5 habitacions. Adjunt hi ha un paller i garatge. Ampli pati privat.                                                                                                                                                                   Casa rústica de 3 plantas, situada en el pueblo de Lles de Cerdanya. La casa consta de salón-comedor, cocina, despensa, 1 baño y 5 habitaciones. Adjunto hay un pajar y garaje. Amplio patio privado.
nfzxcamrtr|Barcelona|La Torre de Claramunt|230|4|1|Vivienda|Finca rústica|Sell|175000.0|Si busques tranquil·litat i viure en un entorn rural aquesta casa és ideal. Planta baixa magatzem i garatge de 103m2 Segona planta habitatge de quatre habitacions, cuina tipus office, un bany i un lavabo. Tot exterior. Calefacció gas-oil.
egrxdkzzxs|Girona|Anglès|193|4|3|Vivienda|Casa adosada|Sell|250000.0|Esplèndida casa en perfecto estado, ubicada a 5 minuts a pie de zona comercial i col.legios. En zona tranquila sin edificaciones delante. A 2 minuts de salida del pueblo. Anglès està situado a 15 minuts de Girona, 20 de la autopista,15 del EIX, a 30 minuts del mar.Posibilidad de hacer tercera planta como altillo.Garage para dos coches y mas.Se puede concertar visita. És una oportunitat para parejas con hijos.
egrxdkzzxs|Girona|Anglès|193|4|3|Vivienda|Casa adosada|Rent|600.0|Esplèndida casa en perfecto estado, ubicada a 5 minuts a pie de zona comercial i col.legios. En zona tranquila sin edificaciones delante. A 2 minuts de salida del pueblo. Anglès està situado a 15 minuts de Girona, 20 de la autopista,15 del EIX, a 30 minuts del mar.Posibilidad de hacer tercera planta como altillo.Garage para dos coches y mas.Se puede concertar visita. És una oportunitat para parejas con hijos.
touqgzzljy|Tarragona|El Morell|90|3|2|Vivienda|Piso|Sell|90000.0|826-EL MORELL: PISO de 90 m2 TOTALMENTE REFORMADO. 3 habitaciones (1 doble y 2 individuales). 2 baños completos. Comedor-estar 22 m2. Cocina independiente 14 m2. Calefacción. Ascensor. Balcón 10 m2 con unas vistas excelentes. Pavimento de parquet. 2 armarios empotrados. Exterior y muy soleado. Certificado energético: En trámite. VENTA: 90.000 €.
ejsgrijigb|Tarragona|El Vendrell|80|2|1|Vivienda|Ático|Sell|81000.0|Amplio piso de 80m2 con 2 dormitorios (uno con armarios empotrados), un baño completo en suite, un aseo con ducha, cocina amplia y equipada tipo office, salón comedor amplio con salida a balcón cerrado con aluminio. Calefacción de gas natural, carpintería de aluminio.Cerca de todos los servicios y del centro.VENGA A VERLO SIN COMPROMISO!!
cynqedaudk|Girona|Tossa de Mar|110|3|2|Vivienda|Piso|Sell|200000.0| 
cynqedaudk|Girona|Tossa de Mar|110|3|2|Vivienda|Piso|Rent|750.0| 
wgujnabmui|Barcelona|Corbera de Llobregat|180|4|3|Vivienda|Casa-Chalet|Sell|299000.0|Preciosa casa en la mejor Urb. Les Cases Pairals a 20 Km de Barcelona. Tiene 10 años de antiguedad sobre un terreno de 900 m2 y superficie construida de 200 m2. Piscina Jardin parking etc..Casa a dos niveles: Planta a nivel de calle: Salon 25 m2   chimenea Cocina 12 m2 Recibidor   lavabo cortesia Balcon 10 m2  Planta buhardilla 25 m2Planta baja: Dormitorio suite   baño completo   vestidor y armarios empotrados 2 dormitorios dobles . Una caseta de madera y un trastero. Casa , parking y jardin a nivel de la calle.
jnlrhwrvfh|Barcelona|Vallirana|250|4|3|Vivienda|Casa adosada|Sell|291000.0|Estupenda casa unifamiliar adosada situada en una de las mejores zonas de Vallirana. En planta baja se encuentra garaje para dos coches, recibidor, trastero y ampliio salón de juegos, En primera planta amplia cocina y salón comedor con chimenea, un baño con plato de ducha y una habitación dobleEn segunda planta consta de dos habitaciones dobles, una habitación suite, sala de estudio y un baño completo. Zona exterior con terraza, barbacoa y piscina propia. Dispone de calefacción de gas natural conexión a Internet fibra óptica. Está situada cerca del pueblo y los colegios.
jnlrhwrvfh|Barcelona|Vallirana|250|4|3|Vivienda|Casa adosada|Sell|291000.0|Estupenda casa unifamiliar  situada en una de las mejores zonas de Vallirana. En planta baja se encuentra garaje para dos coches, recibidor, trastero y ampliio salón de juegos, En primera planta amplia cocina y salón comedor con chimenea, un baño con plato de ducha y una habitación dobleEn segunda planta consta de dos habitaciones dobles, una habitación suite, sala de estudio y un baño completo. Zona exterior con terraza, barbacoa y piscina propia. Dispone de calefacción de gas natural conexión a Internet fibra óptica. Está situada cerca del pueblo y los colegios.
eurxagttck|Barcelona|Avinyonet del Penedès|120|5|1|Vivienda|Casa-Chalet|Sell|230000.0|Casa en planta baja con varios anexos.Dispone de 5 habitaciones dobles en la casa principal.Situada en el parque natural del Garraf, con un terreno de  m.La urbanización dispone de todos los servicios, agua, luz, teléfono, alcantarillado etc.Muy próxima a vilafranca del penedés y Barcelona.Si te gusta la tranquilidad, vivir en plena naturaleza disfrutando de la tierra, estando cerca de grandes ciudades ¡ESTA ES TU CASA!Soy particular. Si realmente estás interesado llama y te espero en tu nueva casa.
